n1	t	n2
à I.1	Syn_∩	en direction
à I.1	Syn_∩	sur IV
à I.1	Syn_∩	vers I
à propos 1	Syn_∩	au sujet
à propos 1	Syn_∩	concernant
abandonner II.2	S_0	abandon I.1
abandonner II.2	A_2Perf	abandonné Adj 2
abandonner II.2	Syn_∩	tourner le dos III
abîme I	Syn_∩	gouffre I
abîmer I	Syn_∩	détériorer
abonner	S_0	abonnement 1
abonner	Anti	désabonner
abonner	S_res	abonnement 2
abonner	S_2Perf	abonné N
abonner	S_2Perf	abonnée
abonner	A_2Perf	abonné Adj
abri 2	Syn_⊃	guitoune 2
abriter 1	S_1	abri 2
abriter 1	Conv_21	s’abriter
abriter 1	CausConv_231	abriter 2
absence 2	Anti	présence
absence 2	S_1	absent N
absence 2	S_1	absente
absence 2	Syn_⊃	lapin 2
absence 2	V_0∩	manquer II
absolument	A_0	absolu Adj 1
absorber I.1	S_0	absorption I.1
absorber I.1	Able_1	absorbant
absorber I.1	Able_2	absorbable
abuser I	S_0	abus
accélérer II.2	S_0	accélération I.2
accélérer II.2	Able_1	accélérateur Adj
accélérer II.2	Anti_∩	ralentir III.2
accent I.1	A_0	accentuel
accent I.1	Real_1	mettre II.2
accent I.1	Real_1	accentuer I.1
accent I.1	Real_2	porter IV
accent I.1	A_1Real_2	accentué I.1
accepter 1	S_0	acceptation
accepter 1	A_2Perf	accepté
accepter 1	Able_2	acceptable
accepter 1	Syn_∩	se soumettre II
accepter 1	Anti	refuser I.1
accès I.1	V_0	accéder I
accès I.1	Able_2	accessible I
accès I.1	S_3	accès II.1
accident I	S_1	accidentée
accident I	S_1	accidenté N
accident I	A_1	accidenté Adj
accident I	S_2^prototyp	véhicule I.a
accomplir I	S_0	accomplissement I.a
accomplir I	Syn_∩	exécuter I.1
accomplir I	A_2Perf	accompli I
accord 1	Anti	désaccord
accord 1	V_0	s’accorder I
accord 1	Syn_∩	concert II.2
accorder I	Syn_∩	attribuer
accoucher a	S_0	accouchement
accoucher a	S_1⊂	parturiente
accoucher a	S_3^usual	accoucheuse
accoucher a	S_3^usual	accoucheur
accoucher a	Syn_∩	pousser III.1
accrocher I	S_0	accrochage
accrocher I	Anti	décrocher 1
accrocher I	Syn_∩	suspendre I
accueillir I.1	S_0	accueil
accumuler I	S_0	accumulation
accuser I.1	S_0	accusation I.1
accuser I.1	S_1	accusatrice
accuser I.1	S_1	accusateur N
accuser I.1	S_2Perf	accusée
accuser I.1	S_2Perf	accusé N
accuser I.1	A_2Perf	accusé Adj
accuser I.1	A_2Manif	accusateur Adj
acheter	S_0	achat I
acheter	S_1	acheteuse
acheter	S_1	acheteur
acheter	Able_2	achetable
acheter	Syn_∩	acquérir I
acheter	Conv_3214	vendre I.1
achever II	S_0	achèvement 1
achever II	Syn_∩	finir II.2
achever II	Syn_∩	terminer I.1a
acquérir I	S_0	acquisition I
acquérir I	S_1	acquéreur N
acquérir I	S_1	acquéreuse
acquérir I	A_1	acquéreur Adj
acte I	Syn_∩	action I.1
acteur 1	Syn_⊃^sex	actrice
acteur 1	Syn_∩	comédien
