"source"	"target"	"type"	"subtype"
"ls:fr:node:44006"	"ls:fr:node:44007"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:32937"	"ls:fr:node:28866"	"ls:fr:cptype:5"	""
"ls:fr:node:26291"	"ls:fr:node:30859"	"ls:fr:cptype:1"	"ls:fr:cpstype:7"
"ls:fr:node:26291"	"ls:fr:node:30857"	"ls:fr:cptype:5"	""
"ls:fr:node:26291"	"ls:fr:node:30858"	"ls:fr:cptype:5"	""
"ls:fr:node:26431"	"ls:fr:node:40943"	"ls:fr:cptype:2"	""
"ls:fr:node:29775"	"ls:fr:node:33227"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:31559"	"ls:fr:node:38325"	"ls:fr:cptype:5"	""
"ls:fr:node:31559"	"ls:fr:node:38512"	"ls:fr:cptype:1"	"ls:fr:cpstype:7"
"ls:fr:node:40578"	"ls:fr:node:31563"	"ls:fr:cptype:1"	"ls:fr:cpstype:7"
"ls:fr:node:28058"	"ls:fr:node:39110"	"ls:fr:cptype:1"	"ls:fr:cpstype:7"
"ls:fr:node:39110"	"ls:fr:node:39111"	"ls:fr:cptype:5"	""
"ls:fr:node:28998"	"ls:fr:node:43005"	"ls:fr:cptype:5"	""
"ls:fr:node:45723"	"ls:fr:node:38321"	"ls:fr:cptype:2"	""
"ls:fr:node:38321"	"ls:fr:node:38324"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:38321"	"ls:fr:node:38347"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28998"	"ls:fr:node:45723"	"ls:fr:cptype:2"	""
"ls:fr:node:28998"	"ls:fr:node:38328"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28998"	"ls:fr:node:38741"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28998"	"ls:fr:node:38330"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27378"	"ls:fr:node:47626"	"ls:fr:cptype:5"	""
"ls:fr:node:37004"	"ls:fr:node:47155"	"ls:fr:cptype:2"	""
"ls:fr:node:47475"	"ls:fr:node:30571"	"ls:fr:cptype:4"	""
"ls:fr:node:30571"	"ls:fr:node:47398"	"ls:fr:cptype:1"	"ls:fr:cpstype:1"
"ls:fr:node:29201"	"ls:fr:node:43845"	"ls:fr:cptype:1"	"ls:fr:cpstype:6"
"ls:fr:node:28658"	"ls:fr:node:47496"	"ls:fr:cptype:2"	""
"ls:fr:node:47496"	"ls:fr:node:47497"	"ls:fr:cptype:5"	""
"ls:fr:node:28658"	"ls:fr:node:47630"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35680"	"ls:fr:node:47490"	"ls:fr:cptype:5"	""
"ls:fr:node:47490"	"ls:fr:node:47489"	"ls:fr:cptype:2"	""
"ls:fr:node:35680"	"ls:fr:node:47631"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27616"	"ls:fr:node:47483"	"ls:fr:cptype:5"	""
"ls:fr:node:47483"	"ls:fr:node:47481"	"ls:fr:cptype:2"	""
"ls:fr:node:27616"	"ls:fr:node:47484"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27616"	"ls:fr:node:47482"	"ls:fr:cptype:1"	"ls:fr:cpstype:6"
"ls:fr:node:36679"	"ls:fr:node:44521"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47634"	"ls:fr:node:47635"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:37232"	"ls:fr:node:29412"	"ls:fr:cptype:5"	""
"ls:fr:node:29412"	"ls:fr:node:47636"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:36204"	"ls:fr:node:47638"	"ls:fr:cptype:5"	""
"ls:fr:node:28500"	"ls:fr:node:51242"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:51199"	"ls:fr:node:51200"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47643"	"ls:fr:node:47644"	"ls:fr:cptype:4"	""
"ls:fr:node:47645"	"ls:fr:node:47646"	"ls:fr:cptype:5"	""
"ls:fr:node:47647"	"ls:fr:node:27897"	"ls:fr:cptype:3"	""
"ls:fr:node:41569"	"ls:fr:node:41573"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47648"	"ls:fr:node:47645"	"ls:fr:cptype:5"	""
"ls:fr:node:47645"	"ls:fr:node:47647"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47474"	"ls:fr:node:47476"	"ls:fr:cptype:4"	""
"ls:fr:node:26768"	"ls:fr:node:30261"	"ls:fr:cptype:2"	""
"ls:fr:node:26768"	"ls:fr:node:39477"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:28748"	"ls:fr:node:47231"	"ls:fr:cptype:2"	"ls:fr:cpstype:8"
"ls:fr:node:44600"	"ls:fr:node:44601"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28304"	"ls:fr:node:46882"	"ls:fr:cptype:2"	"ls:fr:cpstype:5"
"ls:fr:node:46882"	"ls:fr:node:46883"	"ls:fr:cptype:4"	""
"ls:fr:node:28304"	"ls:fr:node:46884"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:31609"	"ls:fr:node:38480"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26210"	"ls:fr:node:44141"	"ls:fr:cptype:2"	""
"ls:fr:node:45529"	"ls:fr:node:46898"	"ls:fr:cptype:4"	""
"ls:fr:node:46898"	"ls:fr:node:46892"	"ls:fr:cptype:2"	""
"ls:fr:node:46892"	"ls:fr:node:45528"	"ls:fr:cptype:2"	"ls:fr:cpstype:5"
"ls:fr:node:26473"	"ls:fr:node:43104"	"ls:fr:cptype:2"	""
"ls:fr:node:26473"	"ls:fr:node:43105"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:26473"	"ls:fr:node:43419"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:29451"	"ls:fr:node:47652"	"ls:fr:cptype:4"	""
"ls:fr:node:29451"	"ls:fr:node:47653"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41212"	"ls:fr:node:26258"	"ls:fr:cptype:4"	""
"ls:fr:node:44197"	"ls:fr:node:45199"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:33626"	"ls:fr:node:45245"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26589"	"ls:fr:node:45740"	"ls:fr:cptype:2"	""
"ls:fr:node:45740"	"ls:fr:node:46778"	"ls:fr:cptype:2"	""
"ls:fr:node:46778"	"ls:fr:node:47017"	"ls:fr:cptype:2"	""
"ls:fr:node:46778"	"ls:fr:node:45766"	"ls:fr:cptype:4"	""
"ls:fr:node:26589"	"ls:fr:node:45776"	"ls:fr:cptype:1"	"ls:fr:cpstype:6"
"ls:fr:node:45766"	"ls:fr:node:45777"	"ls:fr:cptype:2"	""
"ls:fr:node:29593"	"ls:fr:node:39253"	"ls:fr:cptype:2"	""
"ls:fr:node:39253"	"ls:fr:node:40295"	"ls:fr:cptype:5"	""
"ls:fr:node:28429"	"ls:fr:node:45809"	"ls:fr:cptype:2"	""
"ls:fr:node:28642"	"ls:fr:node:47348"	"ls:fr:cptype:5"	""
"ls:fr:node:28642"	"ls:fr:node:46310"	"ls:fr:cptype:5"	""
"ls:fr:node:29399"	"ls:fr:node:48634"	"ls:fr:cptype:2"	""
"ls:fr:node:29451"	"ls:fr:node:47651"	"ls:fr:cptype:5"	""
"ls:fr:node:47390"	"ls:fr:node:47391"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:47391"	"ls:fr:node:47392"	"ls:fr:cptype:2"	""
"ls:fr:node:35682"	"ls:fr:node:44812"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:44812"	"ls:fr:node:44810"	"ls:fr:cptype:5"	""
"ls:fr:node:35682"	"ls:fr:node:44811"	"ls:fr:cptype:2"	""
"ls:fr:node:44811"	"ls:fr:node:47516"	"ls:fr:cptype:5"	""
"ls:fr:node:26612"	"ls:fr:node:47689"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:39528"	"ls:fr:node:46962"	"ls:fr:cptype:2"	""
"ls:fr:node:39528"	"ls:fr:node:29108"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29108"	"ls:fr:node:42883"	"ls:fr:cptype:2"	""
"ls:fr:node:44817"	"ls:fr:node:44969"	"ls:fr:cptype:5"	""
"ls:fr:node:41911"	"ls:fr:node:41574"	"ls:fr:cptype:5"	""
"ls:fr:node:44889"	"ls:fr:node:44905"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45342"	"ls:fr:node:29236"	"ls:fr:cptype:3"	""
"ls:fr:node:38149"	"ls:fr:node:47691"	"ls:fr:cptype:3"	""
"ls:fr:node:42372"	"ls:fr:node:42374"	"ls:fr:cptype:4"	"ls:fr:cpstype:10"
"ls:fr:node:42374"	"ls:fr:node:42950"	"ls:fr:cptype:2"	""
"ls:fr:node:41311"	"ls:fr:node:42340"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41629"	"ls:fr:node:35138"	"ls:fr:cptype:5"	""
"ls:fr:node:41311"	"ls:fr:node:42339"	"ls:fr:cptype:5"	""
"ls:fr:node:42560"	"ls:fr:node:55458"	"ls:fr:cptype:4"	""
"ls:fr:node:32557"	"ls:fr:node:47700"	"ls:fr:cptype:2"	""
"ls:fr:node:32297"	"ls:fr:node:42945"	"ls:fr:cptype:2"	""
"ls:fr:node:35906"	"ls:fr:node:42288"	"ls:fr:cptype:5"	""
"ls:fr:node:27584"	"ls:fr:node:39272"	"ls:fr:cptype:2"	""
"ls:fr:node:29608"	"ls:fr:node:39570"	"ls:fr:cptype:2"	""
"ls:fr:node:29608"	"ls:fr:node:39627"	"ls:fr:cptype:2"	""
"ls:fr:node:30500"	"ls:fr:node:30502"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:29557"	"ls:fr:node:31097"	"ls:fr:cptype:2"	""
"ls:fr:node:31097"	"ls:fr:node:39161"	"ls:fr:cptype:2"	""
"ls:fr:node:31097"	"ls:fr:node:31098"	"ls:fr:cptype:2"	""
"ls:fr:node:47713"	"ls:fr:node:47714"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27570"	"ls:fr:node:30987"	"ls:fr:cptype:2"	""
"ls:fr:node:27570"	"ls:fr:node:29992"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:29992"	"ls:fr:node:46326"	"ls:fr:cptype:2"	""
"ls:fr:node:27570"	"ls:fr:node:29993"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:31677"	"ls:fr:node:39591"	"ls:fr:cptype:2"	""
"ls:fr:node:28327"	"ls:fr:node:38483"	"ls:fr:cptype:5"	""
"ls:fr:node:26471"	"ls:fr:node:39568"	"ls:fr:cptype:2"	""
"ls:fr:node:26767"	"ls:fr:node:40284"	"ls:fr:cptype:2"	""
"ls:fr:node:26767"	"ls:fr:node:30392"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:30392"	"ls:fr:node:30408"	"ls:fr:cptype:2"	""
"ls:fr:node:26767"	"ls:fr:node:30421"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:26767"	"ls:fr:node:30427"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:34311"	"ls:fr:node:44683"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29873"	"ls:fr:node:39563"	"ls:fr:cptype:2"	""
"ls:fr:node:33391"	"ls:fr:node:39616"	"ls:fr:cptype:2"	""
"ls:fr:node:29725"	"ls:fr:node:31081"	"ls:fr:cptype:2"	""
"ls:fr:node:46284"	"ls:fr:node:46272"	"ls:fr:cptype:5"	""
"ls:fr:node:29568"	"ls:fr:node:30982"	"ls:fr:cptype:2"	""
"ls:fr:node:29568"	"ls:fr:node:30983"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:29843"	"ls:fr:node:30904"	"ls:fr:cptype:2"	""
"ls:fr:node:29843"	"ls:fr:node:45686"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:55381"	"ls:fr:node:55363"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:55381"	"ls:fr:node:55363"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:29296"	"ls:fr:node:39564"	"ls:fr:cptype:2"	""
"ls:fr:node:29451"	"ls:fr:node:47720"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:38912"	"ls:fr:node:28112"	"ls:fr:cptype:5"	""
"ls:fr:node:26710"	"ls:fr:node:43588"	"ls:fr:cptype:4"	""
