n1	t	n2
ls:fr:node:26162	ls:fr:lf:3	ls:fr:node:43890
ls:fr:node:26162	ls:fr:lf:3	ls:fr:node:41336
ls:fr:node:26162	ls:fr:lf:3	ls:fr:node:29809
ls:fr:node:26163	ls:fr:lf:3	ls:fr:node:32392
ls:fr:node:26163	ls:fr:lf:3	ls:fr:node:32518
ls:fr:node:26164	ls:fr:lf:21	ls:fr:node:30463
ls:fr:node:26164	ls:fr:lf:330	ls:fr:node:32674
ls:fr:node:26164	ls:fr:lf:3	ls:fr:node:53933
ls:fr:node:26166	ls:fr:lf:3	ls:fr:node:27709
ls:fr:node:26167	ls:fr:lf:3	ls:fr:node:45000
ls:fr:node:26168	ls:fr:lf:21	ls:fr:node:32227
ls:fr:node:26168	ls:fr:lf:10	ls:fr:node:31405
ls:fr:node:26168	ls:fr:lf:69	ls:fr:node:31397
ls:fr:node:26168	ls:fr:lf:407	ls:fr:node:31398
ls:fr:node:26168	ls:fr:lf:407	ls:fr:node:31402
ls:fr:node:26168	ls:fr:lf:330	ls:fr:node:32226
ls:fr:node:26169	ls:fr:lf:5	ls:fr:node:34100
ls:fr:node:26170	ls:fr:lf:31	ls:fr:node:26169
ls:fr:node:26170	ls:fr:lf:9	ls:fr:node:31431
ls:fr:node:26170	ls:fr:lf:873	ls:fr:node:32538
ls:fr:node:26171	ls:fr:lf:10	ls:fr:node:31362
ls:fr:node:26171	ls:fr:lf:31	ls:fr:node:31384
ls:fr:node:26171	ls:fr:lf:31	ls:fr:node:31392
ls:fr:node:26171	ls:fr:lf:5	ls:fr:node:40794
ls:fr:node:26171	ls:fr:lf:26	ls:fr:node:55433
ls:fr:node:26172	ls:fr:lf:28	ls:fr:node:31379
ls:fr:node:26173	ls:fr:lf:21	ls:fr:node:31407
ls:fr:node:26173	ls:fr:lf:109	ls:fr:node:31406
ls:fr:node:26173	ls:fr:lf:111	ls:fr:node:31404
ls:fr:node:26174	ls:fr:lf:21	ls:fr:node:31409
ls:fr:node:26175	ls:fr:lf:21	ls:fr:node:32596
ls:fr:node:26175	ls:fr:lf:109	ls:fr:node:31428
ls:fr:node:26175	ls:fr:lf:13	ls:fr:node:29088
ls:fr:node:26176	ls:fr:lf:28	ls:fr:node:32604
ls:fr:node:26176	ls:fr:lf:228	ls:fr:node:32623
ls:fr:node:26176	ls:fr:lf:228	ls:fr:node:32605
ls:fr:node:26176	ls:fr:lf:255	ls:fr:node:38555
ls:fr:node:26176	ls:fr:lf:259	ls:fr:node:32601
ls:fr:node:26177	ls:fr:lf:21	ls:fr:node:31433
ls:fr:node:26177	ls:fr:lf:330	ls:fr:node:31434
ls:fr:node:26177	ls:fr:lf:111	ls:fr:node:31432
ls:fr:node:26177	ls:fr:lf:3	ls:fr:node:48249
ls:fr:node:26177	ls:fr:lf:10	ls:fr:node:29160
ls:fr:node:26178	ls:fr:lf:23	ls:fr:node:31436
ls:fr:node:26178	ls:fr:lf:111	ls:fr:node:31435
ls:fr:node:26178	ls:fr:lf:59	ls:fr:node:32619
ls:fr:node:26179	ls:fr:lf:31	ls:fr:node:31876
ls:fr:node:26179	ls:fr:lf:31	ls:fr:node:31437
ls:fr:node:26179	ls:fr:lf:104	ls:fr:node:31604
ls:fr:node:26179	ls:fr:lf:52	ls:fr:node:33675
ls:fr:node:26181	ls:fr:lf:21	ls:fr:node:31359
ls:fr:node:26181	ls:fr:lf:3	ls:fr:node:27458
ls:fr:node:26181	ls:fr:lf:330	ls:fr:node:47806
ls:fr:node:26182	ls:fr:lf:10	ls:fr:node:31361
ls:fr:node:26182	ls:fr:lf:23	ls:fr:node:32293
ls:fr:node:26182	ls:fr:lf:3	ls:fr:node:45524
ls:fr:node:26183	ls:fr:lf:3	ls:fr:node:35127
ls:fr:node:26184	ls:fr:lf:21	ls:fr:node:31371
ls:fr:node:26184	ls:fr:lf:578	ls:fr:node:31372
ls:fr:node:26184	ls:fr:lf:395	ls:fr:node:31374
ls:fr:node:26184	ls:fr:lf:395	ls:fr:node:31373
ls:fr:node:26184	ls:fr:lf:3	ls:fr:node:47214
