id	n1	t	n2
rlf-1	ls:fr:node:26162	ls:fr:lffam:3	ls:fr:node:43890
rlf-2	ls:fr:node:26162	ls:fr:lffam:3	ls:fr:node:41336
rlf-3	ls:fr:node:26162	ls:fr:lffam:3	ls:fr:node:29809
rlf-4	ls:fr:node:26163	ls:fr:lffam:3	ls:fr:node:32392
rlf-5	ls:fr:node:26163	ls:fr:lffam:3	ls:fr:node:32518
rlf-6	ls:fr:node:26164	ls:fr:lffam:11	ls:fr:node:30463
rlf-7	ls:fr:node:26164	ls:fr:lffam:32	ls:fr:node:32674
rlf-8	ls:fr:node:26164	ls:fr:lffam:3	ls:fr:node:53933
rlf-9	ls:fr:node:26166	ls:fr:lffam:3	ls:fr:node:27709
rlf-10	ls:fr:node:26167	ls:fr:lffam:3	ls:fr:node:45000
rlf-11	ls:fr:node:26168	ls:fr:lffam:11	ls:fr:node:32227
rlf-12	ls:fr:node:26168	ls:fr:lffam:5	ls:fr:node:31405
rlf-13	ls:fr:node:26168	ls:fr:lffam:23	ls:fr:node:31397
rlf-14	ls:fr:node:26168	ls:fr:lffam:16	ls:fr:node:31398
rlf-15	ls:fr:node:26168	ls:fr:lffam:16	ls:fr:node:31402
rlf-16	ls:fr:node:26168	ls:fr:lffam:32	ls:fr:node:32226
rlf-17	ls:fr:node:26169	ls:fr:lffam:3	ls:fr:node:34100
rlf-18	ls:fr:node:26170	ls:fr:lffam:15	ls:fr:node:26169
rlf-19	ls:fr:node:26170	ls:fr:lffam:4	ls:fr:node:31431
rlf-20	ls:fr:node:26170	ls:fr:lffam:81	ls:fr:node:32538
rlf-21	ls:fr:node:26171	ls:fr:lffam:5	ls:fr:node:31362
rlf-22	ls:fr:node:26171	ls:fr:lffam:15	ls:fr:node:31384
rlf-23	ls:fr:node:26171	ls:fr:lffam:15	ls:fr:node:31392
rlf-24	ls:fr:node:26171	ls:fr:lffam:3	ls:fr:node:40794
rlf-25	ls:fr:node:26171	ls:fr:lffam:12	ls:fr:node:55433
rlf-26	ls:fr:node:26172	ls:fr:lffam:13	ls:fr:node:31379
rlf-27	ls:fr:node:26173	ls:fr:lffam:11	ls:fr:node:31407
rlf-28	ls:fr:node:26173	ls:fr:lffam:35	ls:fr:node:31406
rlf-29	ls:fr:node:26173	ls:fr:lffam:36	ls:fr:node:31404
rlf-30	ls:fr:node:26174	ls:fr:lffam:11	ls:fr:node:31409
rlf-31	ls:fr:node:26175	ls:fr:lffam:11	ls:fr:node:32596
rlf-32	ls:fr:node:26175	ls:fr:lffam:35	ls:fr:node:31428
rlf-33	ls:fr:node:26175	ls:fr:lffam:5	ls:fr:node:29088
rlf-34	ls:fr:node:26176	ls:fr:lffam:13	ls:fr:node:32604
rlf-35	ls:fr:node:26176	ls:fr:lffam:69	ls:fr:node:32623
rlf-36	ls:fr:node:26176	ls:fr:lffam:69	ls:fr:node:32605
rlf-37	ls:fr:node:26176	ls:fr:lffam:70	ls:fr:node:38555
rlf-38	ls:fr:node:26176	ls:fr:lffam:32	ls:fr:node:32601
rlf-39	ls:fr:node:26177	ls:fr:lffam:11	ls:fr:node:31433
rlf-40	ls:fr:node:26177	ls:fr:lffam:32	ls:fr:node:31434
rlf-41	ls:fr:node:26177	ls:fr:lffam:36	ls:fr:node:31432
rlf-42	ls:fr:node:26177	ls:fr:lffam:3	ls:fr:node:48249
rlf-43	ls:fr:node:26177	ls:fr:lffam:5	ls:fr:node:29160
rlf-44	ls:fr:node:26178	ls:fr:lffam:12	ls:fr:node:31436
rlf-45	ls:fr:node:26178	ls:fr:lffam:36	ls:fr:node:31435
rlf-46	ls:fr:node:26178	ls:fr:lffam:17	ls:fr:node:32619
rlf-47	ls:fr:node:26179	ls:fr:lffam:15	ls:fr:node:31876
rlf-48	ls:fr:node:26179	ls:fr:lffam:15	ls:fr:node:31437
rlf-49	ls:fr:node:26179	ls:fr:lffam:31	ls:fr:node:31604
rlf-50	ls:fr:node:26179	ls:fr:lffam:16	ls:fr:node:33675
rlf-51	ls:fr:node:26181	ls:fr:lffam:11	ls:fr:node:31359
rlf-52	ls:fr:node:26181	ls:fr:lffam:3	ls:fr:node:27458
rlf-53	ls:fr:node:26181	ls:fr:lffam:32	ls:fr:node:47806
rlf-54	ls:fr:node:26182	ls:fr:lffam:5	ls:fr:node:31361
rlf-55	ls:fr:node:26182	ls:fr:lffam:12	ls:fr:node:32293
rlf-56	ls:fr:node:26182	ls:fr:lffam:3	ls:fr:node:45524
rlf-57	ls:fr:node:26183	ls:fr:lffam:3	ls:fr:node:35127
rlf-58	ls:fr:node:26184	ls:fr:lffam:11	ls:fr:node:31371
rlf-59	ls:fr:node:26184	ls:fr:lffam:15	ls:fr:node:31372
rlf-60	ls:fr:node:26184	ls:fr:lffam:17	ls:fr:node:31374
rlf-61	ls:fr:node:26184	ls:fr:lffam:17	ls:fr:node:31373
rlf-62	ls:fr:node:26184	ls:fr:lffam:3	ls:fr:node:47214
rlf-63	ls:fr:node:26185	ls:fr:lffam:11	ls:fr:node:31376
rlf-64	ls:fr:node:26185	ls:fr:lffam:5	ls:fr:node:31375
rlf-65	ls:fr:node:26185	ls:fr:lffam:3	ls:fr:node:50731
rlf-66	ls:fr:node:26186	ls:fr:lffam:11	ls:fr:node:31377
rlf-67	ls:fr:node:26187	ls:fr:lffam:11	ls:fr:node:31378
rlf-68	ls:fr:node:26188	ls:fr:lffam:11	ls:fr:node:30527
rlf-69	ls:fr:node:26188	ls:fr:lffam:15	ls:fr:node:31381
rlf-70	ls:fr:node:26188	ls:fr:lffam:15	ls:fr:node:31380
rlf-71	ls:fr:node:26188	ls:fr:lffam:16	ls:fr:node:31403
rlf-72	ls:fr:node:26188	ls:fr:lffam:16	ls:fr:node:31400
rlf-73	ls:fr:node:26188	ls:fr:lffam:32	ls:fr:node:31417
rlf-74	ls:fr:node:26188	ls:fr:lffam:32	ls:fr:node:31408
rlf-75	ls:fr:node:26189	ls:fr:lffam:11	ls:fr:node:31418
rlf-76	ls:fr:node:26189	ls:fr:lffam:15	ls:fr:node:31420
rlf-77	ls:fr:node:26189	ls:fr:lffam:15	ls:fr:node:31419
rlf-78	ls:fr:node:26189	ls:fr:lffam:36	ls:fr:node:31421
rlf-79	ls:fr:node:26189	ls:fr:lffam:3	ls:fr:node:26192
rlf-80	ls:fr:node:26189	ls:fr:lffam:4	ls:fr:node:29794
rlf-81	ls:fr:node:26190	ls:fr:lffam:11	ls:fr:node:31352
rlf-82	ls:fr:node:26190	ls:fr:lffam:3	ls:fr:node:48241
rlf-83	ls:fr:node:26190	ls:fr:lffam:3	ls:fr:node:29615
rlf-84	ls:fr:node:26192	ls:fr:lffam:11	ls:fr:node:31355
rlf-85	ls:fr:node:26192	ls:fr:lffam:15	ls:fr:node:32367
rlf-86	ls:fr:node:26192	ls:fr:lffam:15	ls:fr:node:32366
rlf-87	ls:fr:node:26192	ls:fr:lffam:31	ls:fr:node:32369
rlf-88	ls:fr:node:26193	ls:fr:lffam:3	ls:fr:node:26196
rlf-89	ls:fr:node:26194	ls:fr:lffam:3	ls:fr:node:31368
rlf-90	ls:fr:node:26194	ls:fr:lffam:3	ls:fr:node:33701
rlf-91	ls:fr:node:26195	ls:fr:lffam:5	ls:fr:node:31363
rlf-92	ls:fr:node:26195	ls:fr:lffam:14	ls:fr:node:31364
rlf-93	ls:fr:node:26195	ls:fr:lffam:15	ls:fr:node:32380
rlf-94	ls:fr:node:26195	ls:fr:lffam:15	ls:fr:node:32383
rlf-95	ls:fr:node:26195	ls:fr:lffam:3	ls:fr:node:44046
rlf-96	ls:fr:node:26196	ls:fr:lffam:3	ls:fr:node:26193
rlf-97	ls:fr:node:26197	ls:fr:lffam:3	ls:fr:node:39595
